PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,IC90 Modifier,IC90,IC50 Modifier,IC50,IC50 Std Dev Modifier,IC50 Std Dev,IC50 Hill Slope,IC50 Normalized Chi2,Percent Inhibition @ 100 uM,Percent Inhibition @ 50 uM,Percent Inhibition @ 25 uM,Percent Inhibition @ 12.5 uM,Percent Inhibition @ 6.25 uM,Percent Inhibition @ 3.13 uM,Percent Inhibition @ 1.56 uM,Percent Inhibition @ 0.78 uM,Percent Inhibition @ 0.39 uM,Percent Inhibition @ 0.20 uM,Maximum Inhibition,Concentration of Maximum Inhibition
1681,47195797,850205,CCOC(=O)C1=CC2=CC3=CC=CC=C3C=C2OC1=O,Active,47,,,>,100,,84.8,,4.15,4.56,4.74,68.07,7.62,6.53,0.13,2.23,-9.19,1.99,1.25,3.32,-5.99,68.07,100
1682,47195835,1715490,CN1CCN(CC1)C(=S)SCC2=CC(=CC(=C2)[N+](=O)[O-])[N+](=O)[O-],Active,78,,,,7.18,,6.16,,8.47,14.36,6.63,99.83,99.07,95.63,89.89,55.19,-6.98,-2.76,-4.63,-6.26,-10.59,99.83,100
1683,47195844,8142978,CC1=C(C(=NC=C1[N+](=O)[O-])SC2=CC=CC=C2)[N+](=O)[O-],Active,78,,,,9.94,,5.8,,1.1,4.09,19.53,100.11,99.01,94.13,84.5,60.33,6.8,-51.14,1.14,-1.9,-14.67,100.11,100
1684,47195907,9725680,CC1=CC=C(C=C1)N/N=C/C=C/C2=CC=CO2,Inactive,0,,,,,,,,,,,13.79,4.34,0.24,-6.4,2.75,-9.64,0.64,-40.08,-3.08,-6.35,13.79,100
1685,47195948,23723181,CCCN1C2=CC=CC=C2N(C1=N)CC(=O)C3=CC=C(C=C3)OCC(=O)OC.Br,Active,73,,,,35.87,,20.09,,1.07,3.79,4.9,94,85.65,72.99,11.13,2.02,-2.23,-1.74,-0.86,-0.78,0.16,94,100
1686,47196088,135442100,COC1=C(C=CC(=C1)N=NC2=CC3=CC=CC=C3C=C2)O,Active,65,,,,59.13,,39.73,,1.7,5.53,3.74,99.56,78.09,7.1,1.59,8.41,-2.29,-3.03,2.28,-0.41,-4.4,99.56,100
1687,47196147,3614719,CN1C(=O)C(=C(N=C1SCC2=CC=CC=C2)N)N=O,Active,73,,,,25.58,,18.41,,1.08,6.68,4.48,99.13,95.59,88.61,7.04,-4.47,-2.85,-6.96,-4.16,-4.72,-4.94,99.13,100
1688,47196572,895297,CC1=CC2=C(C=C1)N(C(=C2C3=C4C=CC=CC4=NC3=O)O)C,Active,79,,,,4.82,,2.95,,0.07,4.46,2.65,99,98.72,98.49,98.18,96.52,56.56,5.37,0.58,-2.2,-6.58,99,100
1689,47196593,2935570,CC(C1=CC=CC=C1)NCCCOC2=CC=CC3=CC=CC=C32.C(=O)(C(=O)O)O,Active,71,,,,28.03,,25.07,,337.98,19.7,11.61,100.02,99.76,48.7,-3.34,-28.85,-11.58,-2.83,-3.82,-2.65,-8.46,100.02,100
1690,47196719,4998739,C1=CC=C(C=C1)C2=CC=CC=C2OCCCCN3C=CN=C3,Active,71,,,,26.88,,23.34,,196.66,15.54,8.13,99.82,98.92,74.43,-2.04,-7.74,0.57,-7.68,-4.41,-13.7,-14.02,99.82,100
1691,47196782,2868490,CC(C)(C)C1=CC(=CC2=CC(=C(C=C2)OC)OC)C=C(C1=O)C(C)(C)C,Active,79,,,,7.13,,4.94,,0.42,6.01,6.88,100.43,100.33,84.23,98.83,80.38,5.95,-1.27,-8.28,0.18,-7.67,100.43,100
1692,47197232,23723460,COC1=C(C=C(C=C1)CC2=NC3=C(O2)C=C(C=C3)C(=O)NCCCSC)OC,Active,63,,,,65.16,,43.09,,5.26,5.31,11.54,96.03,69.07,4.78,-2.54,-2.97,2.37,0.78,-0.48,-4.22,-31.89,96.03,100
1693,47197941,2846021,CC(=C)C1CCC(=CC1)CN2CCN(CC2)CC3=CC=CC=C3,Active,73,,,,22.03,,17.76,,5.35,10.21,11.94,99.8,99.15,97.03,2.7,-3.16,-30.36,-5.57,-8.07,-4.1,-9.79,99.8,100
1694,47198049,779863,COC1=NN(C(=O)C(=C1Cl)Cl)C2=CC=CC=C2,Active,76,,,,13.58,,10.33,,0.98,8.05,4.49,100,99.18,97.7,82.24,1.63,-2.31,-1.03,-5.34,-0.02,-11,100,100
1695,47198217,135817227,CC(=N/N=C\1/NC(=O)C(S1)CC2=CC=CC=C2)C,Active,50,,,,97.16,,76.46,,6.79,9.17,3.78,92.14,1.98,4.43,0.1,-0.47,1.39,0.5,-2.89,-0.46,-9.15,92.14,100
1696,47198237,9585828,CCC1=NN=C(N1N)N/N=C/C2=C(C=C(C(=C2)C)C)C,Active,78,,,,6.55,,5.95,,2601.81,22.99,5.31,99.75,99.83,98.58,95.24,75.45,-9.92,-3.75,-3.16,-6.56,-5.91,99.83,50
1697,47198390,883855,CC1=CC=CC=C1C(=O)NC2=CC=C(C3=CC=CC=C32)N(C)C,Inactive,0,,,,,,,,,,,5.34,0.62,-3.73,-2.71,-2.26,-2.09,-5.7,-3.89,-1.5,-0.79,5.34,100
1698,47199192,819037,C1=CC=C(C=C1)C(=O)C2=C(SC=C2)NC(=O)CCl,Active,80,,,,12.64,,0.45,,0.04,0.66,2.88,97.77,93.24,89.54,87.28,85.55,79.94,72.56,57.81,50.28,32.51,97.77,100
1699,47199327,1214927,CC1=C(C(=NC(=N1)N)N)CCCC2=CC(=C(C=C2)Cl)Cl,Active,46,,,>,100,,87.37,,8.14,8.65,3.21,76.26,0.77,4.96,0.19,-4.66,-0.3,-2.68,-4.24,-0.04,3.32,76.26,100
1700,47199350,2989697,CS(=O)(=O)C1=NC=C(C(=N1)C(=O)NC2=CC=C(C=C2)OC(F)F)Cl,Active,75,,,>,25,,13.56,,1.49,4.24,11.46,,,85.97,45.19,-9.33,-2.46,-1.05,-9.99,-6.8,-20.05,85.97,25
1701,47199413,628838,CCOC1=CC(=CC(=C1O)N=NC2=CC(=CC=C2)[N+](=O)[O-])C=O,Active,77,,,,13.49,,8.41,,0.55,4.66,5.93,98.12,98.45,92.68,85.86,21.55,-13.13,-4.84,-1.93,-1.1,-0.36,98.45,50
1702,47199417,6471217,COC1=CC=C(C=C1)OC(=O)C2=CC3=C(C=CC(=C3)Cl)OC2=O,Inactive,0,,,,,,,,,,,-0.49,3.25,1.75,4.07,-2.63,-0.15,-6.25,-1.69,0.95,-2.95,4.07,12.5
1703,47199523,5742286,CC(C)CNC1=C(N=C(O1)/C=C/C2=CC(=CC=C2)OC)C#N,Inactive,0,,,,,,,,,,,5.57,6.33,3.94,-2.53,-2.67,0.45,-2.06,-6.25,-5.12,-7,6.33,50
1704,47199935,1511224,CC1=NC2=CC=CC=C2C(=C1)N3CCN(CC3)C(=O)NC4=CC=CC=C4C#N,Inactive,0,,,,,,,,,,,5.5,-2.01,15.74,-4.7,-8.32,-1.38,-2.02,-3.79,-2.38,-3.61,15.74,25
1705,47200158,23724081,CC1=CC(=O)N2C(=N1)N=C(N2)NC3=CC(=CC=C3)Cl,Active,69,,,,67.97,,29.05,,2.45,2.59,6.64,91.29,78.24,45.48,2.25,0.44,9.04,0.53,7.73,9.99,0.58,91.29,100
1706,47200171,23724090,CC1=CC=C(C=C1)CN2C3=CC=CC=C3N=C2C(CO)NC4=NC(=CS4)C5=CC=C(C=C5)F,Active,54,,,,91.79,,66.35,,7.71,6.77,8.64,94.02,12.97,-4.83,-1.43,-8.09,-9.9,-0.36,-5.14,-2.58,-19.35,94.02,100
1707,47200207,23724119,CC(C1=NC2=CC(=C(C=C2N1CCCO)N3CCCCC3)Cl)NC4=NC(=CS4)C5=CC=C(C=C5)OC,Active,71,,,,26.17,,23.01,,324.51,17.04,6.15,93.8,93.57,80.48,-0.84,-5.47,-6.75,-4.74,0.46,-4.12,-10.35,93.8,100
1708,47200834,3138572,CC(C)(C)OC(=O)NNC1=C2C=CC=CC2=NC3=CC=CC=C31,Active,72,,,,25.23,,22.56,,687.41,19.69,3.61,99.78,99.67,88.29,-4.86,-2.06,0.27,-1.99,-4.12,-0.57,-7.39,99.78,100
1709,47201097,3726239,CC1=NC2=CC=CC=C2C(=C1)N3CCN(CC3)C4=C(C=C(C=C4)C(F)(F)F)[N+](=O)[O-],Active,72,,,,24.86,,22.21,,938.81,19.45,6.75,98.83,99.81,90.92,-5.17,-2.41,7.21,-3.39,-3.97,-4.01,-15.32,99.81,50
1710,47201324,135506713,CSC1=CC=CC(=C1)N=C2C3=CC=CC=C3NC2=O,Inactive,0,,,,,,,,,,,-2.79,-5.92,1.28,-3.28,-0.97,0.68,-2.34,-4.68,-2.61,4.21,4.21,0.2
1711,47202279,754268,C1CN(CCN1CC2=CC=C(O2)[N+](=O)[O-])C3=CC=C(C=C3)Cl,Active,80,,,>,100,,0.44,,0.16,0.35,6.32,94.39,87.46,84.26,76.09,65.39,62.95,52.2,50.17,56.01,49,94.39,100
1712,47202395,9585798,COC1=C(C=C(C=C1)/C=N/NC2=NN=CN2N)Br,Active,76,,,,13.04,,10.51,,1.98,10.18,3.8,100.16,99.74,97.53,85.44,0.43,0.1,-1.07,-3.93,-3.29,-9.04,100.16,100
1713,47202578,23724305,CCOC1=CC=C(C=C1)C2=CN=C(N2CCOC)NCC3=CC=CC4=CC=CC=C43.C(=O)(C(=O)O)O,Active,78,,,,10.98,,7.03,,0.11,4.92,1.65,99.07,99.57,99.5,95.32,35.59,4.39,-1.24,0.19,3.38,0.06,99.57,50
1714,47202853,1565551,CCCCCCOC1=C(C=C(C=C1)/C=C/C(=O)N2CCOCC2)OC,Inactive,0,,,,,,,,,,,3.43,8.06,4.38,-5.09,-3.6,-9.03,-5.71,-4.57,-6.12,-1.05,8.06,50
1715,47203362,3128206,COC1=CC=CC(=C1)NC2=CC=C(C3=NON=C23)[N+](=O)[O-],Active,77,,,,14.53,,9.9,,0.64,5.72,5.52,96.49,94.63,95.84,79.45,6.26,3.25,13.26,-0.84,-0.69,1.59,96.49,100
1716,47203389,6473435,CC1=C(C=CC=C1Cl)C2=CC=C(O2)CNCC3=CC=CC=N3.Cl,Active,79,,,,13.61,,4.66,,0.22,2.05,3.36,96.56,97.76,95.94,87.72,65.46,31.14,6.29,3.7,6.61,5.31,97.76,50
1717,47203452,2251173,CC(C)(C)C1=CSC(=N1)NC(=O)C2=C(C(=C(C(=C2F)F)F)F)F,Active,72,,,,29.39,,21.02,,1.01,6.55,3.51,98.45,94.9,75.89,2.71,-0.47,-2.86,4.69,-3.47,-2.73,-4.82,98.45,100
1718,47203621,135516039,CCC1(CC2=CC=CC=C2C3=C1C(=O)NC(=N3)CN(CC)CC)CC,Active,75,,,,21.09,,12.7,,1.25,4.33,10.95,75.5,93,91.37,49.98,-1.36,6.66,-6.78,-2.52,-8.27,-10.14,93,50
1719,47203922,785017,CC(=O)C1=CC(=CC=C1)NC2=NC(=CS2)C3=CN=CC=C3,Inactive,0,,,,,,,,,,,2.69,1.1,0.07,3.86,0.02,1.98,2.44,4.83,-3.18,-1.24,4.83,0.78
1720,47204251,235224,CN1CCC2=CC3=C(C4=C2C1CC5=CC=CC=C54)OCO3,Active,80,,,,3.03,,2.35,,0.16,8.58,3.47,100,100.04,99.91,99.53,98.79,92.08,2.94,-0.76,-9.22,-3,100.04,50
1721,47204259,9587642,COC1=C(C=C(C=C1)Cl)C(=O)O/N=C(/C2=CC=CC=N2)\N,Active,50,,,>,100,,76.39,,2.16,5.74,2.41,82.43,8.08,0.04,1.12,-1.49,-3.3,-2.13,-1.69,-1.17,-4.85,82.43,100
1722,47204725,753633,C=CCC1=C(C(=CC=C1)CNC2=CC3=CC=CC=C3N=C2)O,Inactive,0,,,,,,,,,,,2.59,-4.7,-5.01,-10.06,-5.81,-2.99,-15.2,-5.95,-3.98,-3.77,2.59,100
1723,49640651,5284513,CC1=CC(=C(C(=C1/C=C/C(=C/C=C/C(=C/C(=O)O)/C)/C)C)C)OC,Active,71,,,,43.47,,24.73,,3.68,3.89,15.26,95.82,89.17,53.46,1.49,2.13,-9.25,-6.47,-39.15,-8,-8.2,95.82,100
1724,49640662,24746768,CC1=CC2=C(C=C1C)OC3=C(C2=O)C=C(C=C3)C#CC(C)NC,Active,74,,,,35.53,,16.42,,0.79,2.85,3.97,99.18,94.19,76.29,33.1,3.67,-4.04,-2.54,-5.58,-2.63,-6.71,99.18,100
1725,49641070,3097917,C1=CC(=NC=C1Cl)NC2=C(C=C(C=N2)[N+](=O)[O-])[N+](=O)[O-],Active,45,,,,99.44,,90.3,>,9999,22.79,4.51,91.1,-3.48,0.42,-2.88,-0.95,-7.15,-1.78,-4.16,-7.87,-2.8,91.1,100
1726,49641348,753151,CCCC1=CC(=O)N2C(=N1)C(=C(N2)C)C3=CC=C(C=C3)Cl,Active,76,,,,13.23,,11.49,,96.16,15.56,8.27,97.95,98.85,97.81,78.88,-1.64,-3.83,-19.32,-5.33,-5.25,-9.49,98.85,50
1727,49641658,3077225,CCNCC(=O)N1C2=CC=CC=C2CCC3=C1C=C(C=C3)NC(=O)OC(C)C.Cl,Active,59,,,,77.04,,53.73,,1.72,6.1,3.32,99.65,38.85,5.35,-1.71,1.68,5.59,1.14,-1.89,2.32,-4.2,99.65,100
1728,49641834,16875665,CC[N+]1=C2C=C(C=CC2=NC3=CC=CC=C31)N(CC)CC.[I-],Active,79,,,,5.55,,3.23,,0.08,4.06,2.48,101.45,100.68,99.28,96.86,90.44,48.29,0.58,0,-2.15,-1.34,101.45,100
1729,49641955,24746846,CC(C)(C)SC1=NSC(=N1)NC(=O)NC2=CC(=CC=C2)OC,Inactive,0,,,,,,,,,,,11.58,0.02,-2.25,0.15,0.73,-4.16,0.06,-5.04,-5.4,-2.29,11.58,100
1730,49641980,24746849,CN1CCC(=CC1)/C=C/C2=CC=C(C=C2)C3=CC=CC=C3.Cl,Active,71,,,,27.99,,24.54,,200.98,16.71,7.39,99.09,99.92,57.85,-3.1,-5.49,-2.67,-8.76,-9.89,-9.7,-10.96,99.92,50
1731,49642195,616398,COC(=O)C1CC(=O)N(C1)C2=CC=C(C=C2)OCC3=CC=CC=C3Cl,Active,80,,,,4.8,,1.26,,0.12,1.64,5.88,99.03,96.93,96.09,90.73,86.07,78.72,69.07,26.71,11.17,0.3,99.03,100
1732,49642346,24746874,C1=CC=C(C=C1)C2=CC(=[N+](C(=C2)C3=CC=CC=C3)C4=C(C(=CC(=C4)[N+](=O)[O-])Cl)O)C5=CC=CC=C5.[O-]Cl(=O)(=O)=O,Active,79,,,,7.3,,4.63,,0.2,4.83,3.85,96.4,96.06,97.14,94.38,81.44,12.76,-0.64,-3.36,0.56,-6.78,97.14,25
1733,49642517,9594976,CC1=CC(=C2C=C(C=CC2=N1)OC)N/N=C/C3=C(C=C(C=C3)OC)OC,Active,74,,,,19.71,,16.29,,5.49,11.53,6.94,99.79,99.92,99.28,4.53,-4.42,-3.03,-10.16,-4.38,-3.8,-14.82,99.92,50
1734,49642690,5719375,CC[N+]1=C(N(C2=C1C=C(C=C2)C3=NC4=CC=CC=C4S3)C5=CC=CC=C5)/C=C/N(C)C6=CC=CC=C6.[I-],Active,80,,,,1.36,,1.13,,0.03,12.28,0.58,99.58,99.79,99.85,99.97,100,99.91,98.09,1.02,-0.29,-1.54,100,6.25
1735,49642749,2848518,CC1CN(CC(N1)C)C2=CC(=C(C=C2)[N+](=O)[O-])NCCOC3=CC=C(C=C3)Cl,Active,74,,,,31.24,,15.51,,0.72,3.14,4,100.03,99.94,81.3,33.59,5.29,5,2.13,6.89,7.09,-1.1,100.03,100
1736,49643041,3192745,CCC1=NC(=C2C3=C(CC(CC3)C(C)(C)C)SC2=N1)N4CCN(CC4)C(=O)C,Active,73,,,,21.53,,17.85,,2.93,11.7,4.53,100.06,99.63,98.1,1.53,1.79,5.08,-1.19,-5.86,-0.19,-9.97,100.06,100
1737,49643365,858960,CCOC(=O)CSC1=NN=C(O1)C2=CNC3=CC=CC=C32,Active,77,,,,22.12,,8.61,,0.67,2.33,5.84,92.16,89.54,85.15,76.57,30.8,4.61,2.36,4.26,-2.95,-2.79,92.16,100
1738,49643486,135509705,CCC1=CC=C(C=C1)N=C2NC(=O)/C(=C/C3=CC(=C(C(=C3)OC)O)OC)/S2,Active,64,,,>,100,,41.13,,5.33,2.26,9.52,87.06,57.59,34.72,-9.99,-1.32,6.18,-15.41,-2.41,0.01,-7.42,87.06,100
1739,49644225,783935,CCC1=CC=C(C=C1)N2N=C3C=C(C(=CC3=N2)N)C,Inactive,0,,,,,,,,,,,9.43,-0.54,2.34,-11.45,-9.02,-5.2,-2.86,-4.01,-5.97,-9.66,9.43,100
1740,49644279,836197,CC1=NC2=C(S1)C=C(C=C2)OC(=O)C3=CC=CC=C3,Active,46,,,>,100,,88.08,,1498.77,16.42,14,89.38,-2.91,-3.24,-16.31,-9.17,-9.03,-24.45,-13.93,-15.54,-9.14,89.38,100
1741,49644455,856047,CCC1=NC2=CC=CC=C2C(=C1C)C(=O)NC3=C(C=CC(=C3)C)C,Active,41,,,>,100,>,100,,70.81,1.64,8.24,30.79,12.06,6.63,1.07,-2.56,-0.58,-18.67,-0.88,-2.99,-12.98,30.79,100
1742,49644944,54676094,CCCCN1C2=CC=CC=C2C(=C(C1=O)C(=O)NC3=C(C=CC=N3)C)O,Active,74,,,,22.05,,17.05,,1.11,8.55,3.56,99.91,99.93,96.35,6.55,2.24,3.06,4.19,-8.11,1.7,0.82,99.93,50
1743,49645254,3138212,C1=CC=C2C=C(C=CC2=C1)OCC3=NN=C(O3)SCC(=O)N,Active,72,,,,27.26,,20.77,,3.31,8.08,7.4,98.21,91.47,81.83,1.2,-1.36,1.59,-9.28,-0.7,-1.45,-16.44,98.21,100
1744,49645294,1730390,C1=CC(=CC=C1N2C(=O)/C(=C\C3=C(C=C(C=C3)O)O)/C(=O)N2)Br,Active,41,,,>,100,>,100,,6.87,4.84,4.19,39.8,2.24,0.59,-3.5,-4.38,0.14,-6.8,-3.78,-2.43,-6.49,39.8,100
1745,49645361,1576348,C1=CC(=CC(=C1)[N+](=O)[O-])C2=CC=C(O2)/C=C\3/C(=O)NC(=O)S3,Inactive,0,,,,,,,,,,,2.2,-4.11,-0.47,-11.9,-10.76,-9.91,-8.38,-7.04,-10.98,-19.87,2.2,100
1746,49645544,24747172,CC1(C2=C(C[C@H]3N1C(=O)N(C3=O)CC4=CC=CC=C4F)C5=CC=CC=C5N2)C,Active,61,,,>,50,,49.29,,925.67,17.97,8.28,,56.37,-5.51,-8.11,-3.19,-9.75,-8.2,-10.8,-4.64,-8.54,56.37,50
1747,49645547,24747174,CC1=CC(=NN1)NC2=CC(=NC(=N2)SC3=CC=C(C=C3)NC(=O)C4CC4)Cl,Active,63,,,,59.21,,43.16,,5.83,6.95,8.86,98.46,73.58,2,2.1,-10.29,-3.71,-7.9,-10.38,-5.9,-17.25,98.46,100
1748,49645755,24747333,C1CN(CCN1C2=C(C=NC=C2Cl)Cl)C(=O)C3=CC4=C(C=C3)C(=O)C5=CC=CC=C5S4(=O)=O,Active,67,,,,52.2,,34.79,,3.02,5.41,7.66,96.81,87.39,15.1,-12.55,-7.06,0.63,-7.35,-3.87,-3.6,-12.67,96.81,100
1749,49645825,135494027,C1=CC(=CC=C1NC(=O)C2=CC3=C(C=C(C=C3)O)OC2=N)Br,Active,80,,,,3.96,,1.72,,0.11,2.63,5.26,99.25,98.97,99.09,98.01,93.15,77.41,51.09,2.72,-1.42,-5.88,99.25,100
1750,49645933,3082576,CC(C)C[C@@H](C(=O)OC)NC(=O)C1=NC=C2C(=C1)C3=CC=CC=C3N2,Active,73,,,,39.8,,19.9,,1.53,3.17,6.64,99.44,97.79,66.34,18.57,6.82,-5.34,-7.25,-8.86,-11.58,-5.22,99.44,100
1751,49646146,5919819,CC(C(=O)OC)OC1=CC2=C(C=C1)C(=O)/C(=C/C3=CC=CO3)/O2,Active,76,,,,17.19,,11.35,,0.73,5.29,6.77,98.74,97.41,89.41,63.7,0.64,-0.63,-0.55,-8.09,-4.15,-13.39,98.74,100
1752,49646351,24747464,CC1=CC(=C2C(=CC(=O)OC2=C1C)CN3CCN(CC3)CC4=CC=CC=C4)C.Cl,Active,62,,,,55.23,,48.06,,133.08,15.8,2.61,98.63,65.12,-0.58,4.55,1.7,1.21,1.3,-1.23,-4.4,-2.18,98.63,100
1753,49646448,24747513,C1CN(C(=O)[C@H]2[C@@H]1C=CC[C@H]2C(=O)NCCC3=CC=CC=C3)CC4=CC(=C(C=C4)Cl)Cl,Active,55,,,,85.48,,63.78,,10.01,7.5,9.62,97.32,13.54,22.69,-0.42,-2.4,0.13,-6.97,-9.47,-6.28,-6.78,97.32,100
1754,49646576,24747590,CC(C)CC1=CC=C(C=C1)C(C)C(=NCCC2=CC=CC=C2)N.Cl,Active,71,,,,27.83,,24.11,,138.3,15.29,7.65,99.87,96.9,63.58,-2.32,-9.27,-10.8,-7.97,-6.97,-11.1,-3.92,99.87,100
1755,49646648,917183,CC1=CC=C(C=C1)C(=O)SC2=CC=CC=CC2=O,Active,80,,,,2.12,,1.53,,0.05,6.8,4.66,100.26,100.04,100.16,100.15,100.1,99.87,53.44,1.74,-12.09,-5.16,100.26,100
1756,49646700,16238264,CCOC1=CC=C(C=C1)C2=CC(=[N+](C(=C2)C)CCC3=CC(=C(C=C3)OC)OC)C4=CC=C(C=C4)OCC.[O-]Cl(=O)(=O)=O,Active,80,,,,2.52,,1.66,,0.03,5.29,2.06,99.95,100.06,100.03,100.08,99.37,94.28,42.55,-2.45,-1.79,2.52,100.08,12.5
1757,49647034,3265387,CCCOC(=O)CSC1=C(C2=C(COC(C2)(C)C)C(=N1)N3CCOCC3)C#N,Active,71,,,,42.46,,23.85,,1.79,3.81,7.5,96.24,84.68,58.73,0.87,-1.93,-5.16,1.13,-3.49,-2.24,-15.04,96.24,100
1758,49647037,24747640,CC(CCC1=CC(=C(C=C1OC)OC)OC)NCCC(C2=CC=CC=C2)C3=CC=CC=C3.Cl,Active,71,,,,26.66,,23.38,,123.96,16.7,2.65,99.89,99.28,75.45,-1.48,-2.11,-2.78,-3.58,-3.55,-1.81,-3.52,99.89,100
1759,49647040,24747642,C1COCCN1CC(C2=CC=CC=C2)C(=O)C3=CC=C(C=C3)Br.Cl,Active,76,,,,13.77,,12.03,,139.2,16.25,8.43,100.1,100.09,99.31,65.57,-6.25,-1.76,-7.62,-5.16,-17.68,-11.34,100.1,100
1760,49647052,10860295,CNC1=CC2=[N+](C3=CC=CC=C3N=C2C=C1)C.[O-]Cl(=O)(=O)=O,Active,80,,,,1.68,,1.16,,0.05,6.03,3.23,99.81,99.77,99.51,98.93,96.43,91.61,85.92,7.98,1.88,0.16,99.81,100
1761,49647098,4437603,CC1=CC=C(C=C1)C2CC(=NN2C(=O)CCl)C3=CC=CS3,Active,80,,,,1.77,,1.42,,0.35,9.85,4.89,98.98,98.96,97.33,94.18,93.01,90.51,72.67,-1.07,2.22,1.85,98.98,100
1762,49647168,24747653,CCCCCCCCCCOC(=O)CN1C2=CC=CC=C2[N+](=C1COC3=CC=C(C=C3)Cl)C.[Cl-],Active,74,,,,17.49,,15.81,,173.98,21.76,3.31,99.95,99.96,100,0.58,-7.56,-0.89,1.17,-2.89,-4.21,-1.58,100,25
1763,49647323,716169,CCOC1=CC(=C(C=C1)C2=C(C=NN2)C3=CC=C(C=C3)Cl)O,Active,63,,,,72.29,,44.75,,2.5,4.58,5.78,96.79,62.59,6.29,-0.46,-3.18,-1.71,-4.31,-7.21,-7.67,-11.12,96.79,100
1764,49647829,24747725,CCCCCCCCCCC[N+](C)(C)CC/C=C\1/C2=CC=CC=C2SC3=C1C=C(C=C3)Cl.[Br-],Active,77,,,,9.28,,8.03,,13.74,15.08,8.91,99.94,99.9,99.96,99.87,2.25,-12.84,-11.95,-10.31,-6.97,-13.12,99.96,25
1765,49647906,3832753,COC1=CC=C(C=C1)NC2=NC(=C(C(=N2)NC3CCCCC3)[N+](=O)[O-])N,Active,73,,,,26.29,,18.33,,1.68,6.09,7.57,99.96,99.21,87.13,8.19,18.66,-6.18,-3.5,-4.35,-5.29,-4.12,99.96,100
1766,49647910,24747733,CC1=CC2=C(C=C1)N=C(N=C2C3CCCCC3)N(C)OC,Active,58,,,,68.23,,57.4,,55.3,12.72,5.28,99.96,14.74,1.52,2.03,-1.33,-4.66,-1.37,-10.89,-5.88,-6.17,99.96,100
1767,49647914,24747735,CCOC(=O)C1=NC(=C(S1)C(=O)CN(CC=C)C2=CC(=CC=C2)Br)C,Active,72,,,,32.64,,20.78,,3.97,4.87,18.08,91.58,81.09,73.44,4.57,-2.48,-1.9,-46.62,-4.19,-0.28,-4.45,91.58,100
1768,49647941,913250,C1=CC=C(C=C1)CNC2=NC=NC3=C2NC4=C3C=C(C=C4)F,Active,71,,,,26.97,,23.79,,392.94,17.47,5.35,99.97,98.25,70.48,-5.05,-4.94,-4.5,-6.09,-6.69,-2.93,-8.09,99.97,100
1769,49648069,5922794,CC1=CC=CN2C1=NC(=C(C2=O)/C=C(\C#N)/C(=O)NCCCOC)N3CCN(CC3)C4=CC(=CC=C4)Cl,Active,65,,,>,100,,38.53,,4.19,2.62,8.59,75.3,77.19,18.32,1.62,9.88,-1.74,2.25,5.89,0.59,3.08,77.19,50
1770,49648550,16398325,CC(C)CCCC(C)NCC1[C@H]2CC3C(=C)CCC[C@@]3(C[C@H]2OC1=O)C,Active,71,,,,26.23,,23.36,,881.58,18.95,5.25,100.08,100.03,78.35,-9.37,2.48,-3.24,-1.92,-2.41,-4.34,-9.37,100.08,100
1771,49648685,24747878,CC1=CC2=C(C=C1C)OC3=C(C2=O)C=C(C=C3)NCCCN4C=CN=C4,Active,71,,,,25.72,,23.23,,8557.46,21.56,11.83,93.59,89.13,82.99,-5.3,-0.52,3.9,-28.91,-4.32,-5.73,-5.4,93.59,100
1772,49648837,158365,C1[C@H]2C(=O)N[C@H](C(=O)N2[C@@H]3[C@]1(C4=CC=CC=C4N3)[C@]56C[C@H]7C(=O)N[C@H](C(=O)N7[C@H]5NC8=CC=CC=C68)CC9=CC=CC=C9)CC1=CC=CC=C1,Inactive,0,,,,,,,,,,,27.27,6.27,18.56,-2,-0.31,-3.05,-7.41,-8.73,-1.91,-11.74,27.27,100
1773,49648875,24747951,COC1=CC=C(C=C1)N/C(=C/2\CCCC2=O)/C3CCCCC3,Inactive,0,,,,,,,,,,,8.32,4.08,9.63,3.48,6.9,5.66,5.05,4.24,2.79,3.37,9.63,25
1774,49649053,24747958,CC(C)CC[N+]1=CC=CC=C1/C=C/C2=CC=C(C=C2)N(C)C.[I-],Active,76,,,,15.36,,10.21,,0.57,5.38,4.97,98.26,99.2,95.55,75.05,6.54,-6.37,-2.17,-8.36,-7.64,-2.15,99.2,50
1775,49649435,16456744,CCNC1=NC(=C2C=NN(C2=N1)C)NC3=CC(=C(C=C3)C)Cl,Active,53,,,>,100,,69.97,,6.37,2.49,6.81,68.99,33.24,4.99,-4.31,-9.13,-8.34,-9.04,-3.9,-8.16,0.09,68.99,100
1776,49649441,20913583,CC1=NC(=NC=C1C(=O)NC2=NC=C(C=C2)Br)SC,Active,80,,,,2.93,,1.54,,0.08,3.42,4.55,98.41,99.21,95.92,97.63,94.47,85.02,55.74,2.14,-1.29,-0.71,99.21,50
